adm_village_id,both,year,newpoint_x,newpoint_y
267587,159,1935,26.60571,41.87724
267551,384,1935,26.97069,41.61035
267556,345,1935,26.86748,41.47984
267558,295,1935,26.8268,41.47188
267561,549,1935,26.9047,41.48368
267564,530,1935,26.91146,41.54138
267565,945,1935,26.95,41.51667
267573,227,1935,26.70006829,41.91560172
267578,286,1935,26.69301,41.87024
267582,327,1935,26.76859,41.93461
267583,478,1935,26.73561,41.83951
267584,145,1935,26.93059,41.9236
267588,263,1935,26.82846,41.86472
267593,231,1935,26.61471,41.92456
267596,117,1935,26.63333,41.85263
267599,583,1935,26.599021,41.759068
267600,442,1935,26.66075,41.57725
267602,464,1935,26.553243,41.763972
267606,189,1935,26.622804,41.725082
267607,209,1935,26.563961,41.819536
267608,479,1935,26.55716574,41.78206273
267623,174,1935,26.405512,41.778608
267637,990,1935,26.94821,41.7361
267639,390,1935,26.977473,41.787555
267698,466,1935,26.84134,41.14671
267689,554,1935,26.932,41.3323
267691,433,1935,26.790289,41.175023
267692,312,1935,26.892469,41.288489
267694,1418,1935,26.82278,41.21972
267700,844,1935,26.79749881,41.26424085
267701,614,1935,26.87704,41.33181
267702,452,1935,26.83745,41.26646
267654,467,1935,26.64878,41.41098
267657,496,1935,26.651147,41.060683
267674,347,1935,26.605918,41.094546
267675,332,1935,26.59653,41.28651
276438,723,1935,26.992524,41.387634
276439,364,1935,26.90954,41.37908
276442,517,1935,26.95902,41.3735
276428,635,1935,27.204366,41.457391
276425,391,1935,27.223029,41.507743
276417,350,1935,27.178271,41.488254
276413,268,1935,27.035746,41.52856
276411,254,1935,27.068877,41.510125
276404,500,1935,27.005437,41.563217
276518,126,1935,27.286437,42.07115
276524,270,1935,27.138508,41.963877
276452,303,1935,27.679392,41.954111
276455,508,1935,27.54616,41.903229
276456,274,1935,27.586938,41.86811
276448,245,1935,27.852228,41.901271
276447,806,1935,27.982999,41.876095
276461,2315,1935,27.583326,41.445026
276488,384,1935,27.371228,41.342529
276493,431,1935,27.437534,41.431481
276482,551,1935,27.404244,41.491381
276498,635,1935,27.366654,41.934089
276526,342,1935,27.125679,41.996015
276527,136,1935,27.13638,42.04151
276531,231,1935,27.303672,41.806474
276563,590,1935,27.470434,41.837635
276557,418,1935,27.208179,41.854776
276572,189,1935,27.723554,41.571046
276574,1175,1935,27.777442,41.517132
276579,665,1935,27.826768,41.63551
276583,448,1935,27.64644,41.45964
276587,176,1935,27.958953,41.61421
267470,1585,1935,26.35194,41.10694
267520,427,1935,26.517642,40.840316
267557,770,1935,26.90279,41.58651
267660,580,1935,26.777316,41.081626
267661,94,1935,26.56677,41.17764
141139,1319,1990,26.317402,40.849654
139176,803,1990,26.742526,40.759953
139298,2167,1990,26.538911,40.639268
143558,449,1990,26.889914,41.896163
119420,253,1990,26.405512,41.778608
127666,683,1990,26.738045,41.698095
124382,992,1990,26.599021,41.759068
130234,940,1990,26.811259,41.724894
125911,166,1990,26.348732,40.677253
141399,533,1990,26.637681,40.705823
134677,185,1990,27.438109,41.921539
112371,9237,1990,26.822133,41.549485
121166,584,1990,26.881298,41.690886
123840,340,1990,26.97007,41.610842
139877,909,1990,26.904196,41.486313
119103,1655,1990,26.741687,41.541871
112403,9212,1990,26.381591,40.920202
129690,1949,1990,26.442036,40.869491
143615,2215,1990,26.45097,41.028291
119875,230,1990,26.489186,40.85033
117786,757,1990,26.59716,40.8152
117919,682,1990,26.46458,40.68813
138271,712,1990,26.713745,40.937556
140516,798,1990,26.737673,41.785697
141719,32,1990,26.605938,41.87825
126716,979,1990,26.644992,41.838353
142160,403,1990,26.828341,41.866426
135722,761,1990,26.520795,41.233044
124348,1191,1990,26.394818,41.078981
138224,547,1990,26.436711,41.094406
139931,587,1990,26.345005,41.217009
140153,433,1990,26.472294,41.216236
140639,269,1990,26.55324,41.200465
119220,1705,1990,26.347389,41.083181
142973,2761,1990,26.374083,41.144154
139356,380,1990,26.640277,41.7632
139723,345,1990,26.615436,41.805988
124393,1744,1990,26.953032,41.736303
127937,1350,1990,26.710045,41.160531
144962,618,1990,26.605918,41.094546
130180,671,1990,26.914942,41.201987
132529,814,1990,26.752062,41.173419
133829,436,1990,26.684603,41.057711
135669,320,1990,26.52862,41.136618
123591,326,1990,26.892469,41.288489
131414,188,1990,26.460373,40.782624
133666,1030,1990,26.645875,40.809824
140641,1559,1990,26.638866,40.973824
127208,141,1990,26.417582,40.617076
127269,172,1990,26.574735,40.716515
143531,336,1990,26.715582,40.785438
122048,374,1990,26.920305,41.617537
144593,336,1990,27.035746,41.52856
138092,354,1990,27.075615,41.541869
139868,942,1990,27.076155,41.390744
147450,55,1990,27.651893,41.945249
121771,248,1990,27.852228,41.901271
133372,186,1990,27.580376,41.90535
123876,578,1990,27.645938,41.915136
139089,440,1990,28.049135,41.887998
143158,223,1990,27.912653,41.968458
123085,708,1990,27.346391,41.644061
118910,930,1990,27.067036,41.829549
128281,913,1990,26.992524,41.387634
112643,3045,1990,26.91761,41.346931
115869,467,1990,27.390215,41.670758
125710,408,1990,27.512278,41.702229
145691,543,1990,26.256518,40.616133
143895,758,1990,26.910526,41.543856
134766,276,1990,26.537066,41.270053
147643,521,1990,26.556764,41.798152
135315,265,1990,26.69536,41.732353
135493,265,1990,26.688345,41.775147
117506,230,1990,26.479504,41.781038
129776,639,1990,26.641532,41.32889
140767,329,1990,27.140796,41.456662
111328,1306,1990,27.159667,41.941451
147922,132,1990,27.078213,42.020367
113439,196,1990,27.34615,42.03304
144009,265,1990,27.017003,41.463449
133672,384,1990,26.864931,41.482282
112407,102345,1990,26.552659,41.67749
124806,176,1990,26.725923,41.941918
138592,301,1990,26.465108,41.223623
138486,377,1990,26.828151,41.47166
140107,1614,1990,26.750393,41.603585
140789,1755,1990,26.836576,41.586397
126889,535,1990,26.828684,41.459143
115236,1007,1990,26.858136,41.640555
132715,441,1990,26.460078,40.914547
122428,907,1990,26.40375,41.035047
134289,558,1990,26.529688,41.062985
146396,521,1990,26.387008,40.630502
112404,40656,1990,26.629276,40.855759
146854,263,1990,26.572221,40.87501
113544,1491,1990,26.67038,40.756117
137275,451,1990,26.485855,40.73861
124381,286,1990,26.586895,40.771738
127697,455,1990,26.670078,41.915981
138364,314,1990,26.767125,41.93547
145932,424,1990,26.55336,41.241033
115857,580,1990,26.43284,41.26108
141468,620,1990,26.488167,41.285526
115225,1246,1990,26.46139,41.27086
129142,208,1990,26.463438,41.740992
139773,683,1990,26.663179,41.699771
142517,801,1990,26.678895,41.613343
128532,444,1990,26.818696,41.816024
120822,603,1990,26.576646,41.073986
116184,4281,1990,26.79991,41.389743
132383,1575,1990,26.748394,41.101118
133695,821,1990,26.841463,41.145705
122684,767,1990,26.797105,41.265328
123095,954,1990,26.822073,41.306927
135644,1165,1990,26.667477,41.185994
147295,151,1990,26.517575,40.709896
120802,889,1990,26.701684,41.009927
141541,450,1990,26.406091,40.678463
142849,395,1990,26.73253,40.786796
140239,431,1990,26.931903,41.92386
126382,725,1990,27.05337,41.385469
119767,3769,1990,27.144204,41.370354
135091,667,1990,27.108466,41.489187
139253,4169,1990,27.10493,41.349022
128958,94,1990,27.368049,41.850291
111327,43017,1990,27.219669,41.733463
133859,316,1990,27.208179,41.854776
121163,487,1990,27.54616,41.903229
142418,342,1990,27.586938,41.86811
143179,592,1990,27.86373,41.784068
144132,182,1990,27.138508,41.963877
121432,136,1990,27.041586,42.01646
145423,278,1990,27.363636,41.688063
121105,1067,1990,27.427125,41.866417
138100,523,1990,27.27266,41.87104
138785,752,1990,27.547836,41.754423
116245,2565,1990,28.095,41.636166
141180,330,1990,27.700665,41.601588
126796,688,1990,27.693794,41.489119
143222,174,1990,27.7177,41.642798
118380,3017,1990,27.401158,41.737761
146805,1077,1990,26.148924,40.697296
